,0
0,0.05
1,0.05480000000000001
2,0.0506
3,0.0509
4,0.0501
5,0.0504
6,0.0567
7,0.0481
8,0.058600000000000006
9,0.0764
10,0.0702
11,0.07
12,0.0604
13,0.051
14,0.0545
15,0.049400000000000006
16,0.1255
17,0.1442
18,0.1405
19,0.0601
20,0.0601
21,0.0488
22,0.0454
23,0.053700000000000005
24,0.050199999999999995
25,0.0555
26,0.0507
27,0.045899999999999996
28,0.0358
29,0.030299999999999997
30,0.0463
31,0.0483
32,0.0497
33,0.05480000000000001
34,0.0521
35,0.0506
36,0.0538
37,0.051100000000000007
38,0.0527
39,0.0501
40,0.11960000000000001
41,0.1472
42,0.1419
43,0.06280000000000001
44,0.0584
45,0.05480000000000001
46,0.0501
47,0.04730000000000001
48,0.0468
49,0.0468
50,0.0468
51,0.0483
52,0.048
53,0.0483
54,0.05480000000000001
55,0.0495
56,0.069
57,0.0761
58,0.07780000000000001
59,0.060700000000000004
60,0.0529
61,0.049400000000000006
62,0.0492
63,0.0478
64,0.1159
65,0.1438
66,0.1341
67,0.0567
68,0.05480000000000001
69,0.055400000000000005
70,0.050300000000000004
71,0.04820000000000001
72,0.0501
73,0.050499999999999996
74,0.049
75,0.0489
76,0.0475
77,0.04820000000000001
78,0.0516
79,0.0543
80,0.0641
81,0.0701
82,0.0679
83,0.0694
84,0.0701
85,0.0669
86,0.0633
87,0.05940000000000001
88,0.1449
89,0.17440000000000003
90,0.15480000000000002
91,0.06420000000000001
92,0.0661
93,0.0582
94,0.052000000000000005
95,0.0593
96,0.059500000000000004
97,0.0576
98,0.050499999999999996
99,0.0483
100,0.0378
101,0.036000000000000004
102,0.044500000000000005
103,0.0435
104,0.04820000000000001
105,0.055700000000000006
106,0.0645
107,0.060300000000000006
108,0.0604
109,0.0516
110,0.0492
111,0.0483
112,0.1189
113,0.1528
114,0.14550000000000002
115,0.06230000000000001
116,0.061
117,0.052000000000000005
118,0.0487
119,0.052199999999999996
120,0.0525
121,0.0529
122,0.05
123,0.0488
124,0.0466
125,0.0464
126,0.0471
127,0.0463
128,0.0487
129,0.052000000000000005
130,0.0604
131,0.0555
132,0.057300000000000004
133,0.059500000000000004
134,0.0588
135,0.053700000000000005
136,0.1242
137,0.1668
138,0.14800000000000002
139,0.0632
140,0.0596
141,0.0547
142,0.047599999999999996
143,0.0501
144,0.047599999999999996
145,0.049100000000000005
146,0.0488
147,0.04730000000000001
148,0.0429
149,0.04730000000000001
150,0.0535
151,0.0543
152,0.059000000000000004
153,0.0633
154,0.0596
155,0.0581
156,0.0576
157,0.05480000000000001
158,0.0526
159,0.0518
160,0.1225
161,0.1398
162,0.1344
163,0.061399999999999996
164,0.051500000000000004
165,0.05480000000000001
166,0.0467
167,0.0487
168,0.0504
169,0.051
170,0.048600000000000004
171,0.049
172,0.0483
173,0.049100000000000005
174,0.0501
175,0.0565
176,0.0576
177,0.058499999999999996
178,0.055999999999999994
179,0.0589
180,0.059500000000000004
181,0.0555
182,0.05480000000000001
183,0.05280000000000001
184,0.1245
185,0.1565
186,0.14529999999999998
187,0.06280000000000001
188,0.0559
189,0.0553
190,0.0495
191,0.0483
192,0.0492
193,0.0493
194,0.0487
195,0.0483
196,0.0483
197,0.049100000000000005
198,0.0567
199,0.0534
200,0.0652
201,0.062400000000000004
202,0.0604
203,0.0576
204,0.0567
205,0.054900000000000004
206,0.0553
207,0.0576
208,0.13670000000000002
209,0.1723
210,0.16210000000000002
211,0.0723
212,0.0652
213,0.058499999999999996
214,0.0526
215,0.0524
216,0.0506
217,0.050499999999999996
218,0.049100000000000005
219,0.0489
220,0.04820000000000001
221,0.0484
222,0.054000000000000006
223,0.0553
224,0.0587
225,0.0596
226,0.0638
227,0.0584
228,0.0596
229,0.057699999999999994
230,0.056600000000000004
231,0.057
232,0.1328
233,0.16870000000000002
234,0.1518
235,0.0661
236,0.06420000000000001
237,0.0601
238,0.0536
239,0.05480000000000001
240,0.050800000000000005
241,0.052000000000000005
242,0.050300000000000004
243,0.0488
244,0.0468
245,0.048600000000000004
246,0.0533
247,0.0576
248,0.0639
249,0.066
250,0.06280000000000001
251,0.0599
252,0.0596
253,0.0534
254,0.052000000000000005
255,0.051100000000000007
256,0.1219
257,0.1479
258,0.1325
259,0.0587
260,0.0555
261,0.052000000000000005
262,0.0468
263,0.0495
264,0.05
265,0.0576
266,0.050499999999999996
267,0.047599999999999996
268,0.0452
269,0.0421
270,0.045899999999999996
271,0.0454
272,0.05
273,0.058600000000000006
274,0.0553
275,0.059800000000000006
276,0.06559999999999999
277,0.062400000000000004
278,0.0558
279,0.0538
280,0.1216
281,0.1477
282,0.1427
283,0.059699999999999996
284,0.0616
285,0.0559
286,0.0529
287,0.058600000000000006
288,0.05280000000000001
289,0.0604
290,0.0538
291,0.050199999999999995
292,0.0487
293,0.0487
294,0.0487
295,0.04730000000000001
296,0.04820000000000001
297,0.04820000000000001
298,0.056799999999999996
299,0.0596
300,0.06420000000000001
301,0.0564
302,0.052000000000000005
303,0.0512
304,0.1216
305,0.15380000000000002
306,0.136
307,0.0589
308,0.05480000000000001
309,0.0519
310,0.0468
311,0.048600000000000004
312,0.0472
313,0.050499999999999996
314,0.0463
315,0.0463
316,0.0454
317,0.0468
318,0.0529
319,0.050199999999999995
320,0.053700000000000005
321,0.06
322,0.06230000000000001
323,0.0591
324,0.059500000000000004
325,0.052000000000000005
326,0.0519
327,0.0509
328,0.11789999999999999
329,0.1433
330,0.135
331,0.059699999999999996
332,0.0555
333,0.0529
334,0.046200000000000005
335,0.0538
336,0.0534
337,0.055999999999999994
338,0.0489
339,0.0454
340,0.0378
341,0.0435
342,0.0529
343,0.0483
344,0.0529
345,0.0558
346,0.051
347,0.049100000000000005
348,0.049100000000000005
349,0.049100000000000005
350,0.049100000000000005
351,0.050499999999999996
352,0.115
353,0.1442
354,0.1386
355,0.0689
356,0.0576
357,0.0506
358,0.0454
359,0.0514
360,0.0524
361,0.053899999999999997
362,0.0501
363,0.0463
364,0.0406
365,0.0373
366,0.052000000000000005
367,0.051
368,0.055700000000000006
369,0.0567
370,0.0543
371,0.051500000000000004
