,Heating Demand (kWh),Cooling Demand (kWh)
00:00,0.0,11.068263888888906
01:00,0.0,8.084629629629651
02:00,0.0,4.611874999999996
03:00,0.0,3.829282407407389
04:00,0.0,0.8456481481481273
05:00,4.290115740740733,0.0
06:00,4.045555555555568,0.0
07:00,0.0,28.288800925925948
08:00,0.0,120.7243564814815
09:00,0.0,160.48749999999998
10:00,0.0,172.0307407407407
11:00,0.0,180.19905092592592
12:00,0.0,186.89999999999998
13:00,0.0,179.07407407407405
14:00,0.0,177.26432870370365
15:00,0.0,171.39488425925924
16:00,0.0,172.17747685185182
17:00,0.0,102.53810648148146
18:00,0.0,99.11426388888887
19:00,0.0,101.21748148148151
20:00,0.0,56.511046296296314
21:00,0.0,45.70148611111111
22:00,0.0,27.8755601851852
23:00,0.0,26.016902777777766
