,MinSP = 5
09:00:00,55
09:30:00,42.5
10:00:00,30
10:30:00,17.5
11:00:00,5
11:30:00,5
12:00:00,5
12:30:00,5
13:00:00,5
13:30:00,5
14:00:00,5
14:30:00,5
15:00:00,5
15:30:00,5
16:00:00,5
16:30:00,5
