slope,intercept
-0.04707809,1.242493606
-0.152408838,3.181148727
-0.144351193,4.42996713
-0.224031474,6.448769516
-0.238572061,7.189053266
-0.115814398,6.518139104
-0.005495019,4.939066027
-0.215710856,6.320206038
-0.202369642,6.06764389
-0.163756901,3.997394502
-0.074829308,1.900913507
-0.086543838,1.666245312
,
