,0
1,1289.6533333333339
2,1289.6533333333339
3,1289.6533333333339
4,1289.6533333333339
5,1289.6533333333339
6,1289.6533333333339
7,1289.6533333333339
8,1289.6533333333339
9,1289.6533333333339
10,1289.6533333333339
11,1289.6533333333339
12,1289.6533333333339
13,1289.6533333333339
14,1289.6533333333339
15,1289.6533333333339
16,1289.6533333333339
17,1298.613333333334
18,1284.3200000000006
19,1366.5066666666676
20,1399.6800000000007
21,1460.5866666666675
22,1396.7466666666676
23,1378.1333333333343
24,1479.1466666666677
25,1499.5200000000011
26,1564.2666666666676
27,1514.1333333333343
28,1571.200000000001
29,1534.080000000001
30,1554.720000000001
31,1556.213333333334
32,1596.533333333334
33,1755.0933333333342
34,1752.9600000000007
35,1756.5333333333342
36,1783.6266666666675
37,1848.7466666666676
38,1933.386666666668
39,2024.3733333333346
40,2065.1733333333345
41,2177.6000000000013
42,2250.506666666668
43,2297.7600000000016
44,2426.9866666666685
45,2439.1466666666684
46,2577.9733333333347
47,2614.6666666666683
48,2631.306666666668
49,2660.960000000001
50,2768.746666666668
51,2820.8533333333344
52,2947.413333333335
53,3118.240000000001
54,3215.466666666668
55,3278.6666666666683
56,3306.506666666668
57,3406.1866666666683
58,3523.840000000002
59,3730.3466666666686
60,3876.6400000000017
61,4130.133333333335
62,4211.573333333335
63,4135.946666666668
64,4270.133333333335
65,4377.013333333335
66,4518.933333333334
67,4542.0266666666685
68,4591.413333333335
69,4695.306666666669
70,4693.813333333336
71,4631.30666666667
72,4659.733333333337
73,4627.253333333338
74,4734.02666666667
75,4893.973333333338
76,4873.653333333337
77,5081.920000000004
78,5130.720000000004
79,5133.440000000004
80,5201.066666666671
81,5146.986666666672
82,5127.786666666671
83,4986.560000000006
84,4993.1733333333395
85,5095.2533333333395
86,5225.120000000006
87,5318.186666666673
88,5296.106666666673
89,5390.026666666672
90,5455.6266666666725
91,5519.6266666666725
92,5691.093333333339
93,5729.493333333338
94,5893.440000000005
95,6019.893333333339
96,5879.6266666666725
97,5931.306666666672
98,5956.053333333339
99,5906.880000000005
100,6062.4533333333375
101,6035.520000000004
102,6153.546666666671
103,6257.546666666671
104,6134.34666666667
105,6154.773333333336
106,6321.013333333337
107,6183.840000000003
108,6288.90666666667
109,6491.893333333337
110,6544.320000000003
111,6697.013333333336
112,6873.866666666669
113,7122.666666666669
114,6969.280000000002
115,7031.146666666668
116,7057.173333333336
117,6992.053333333336
118,7073.440000000003
119,6982.933333333337
120,6992.3733333333375
121,6983.146666666671
122,6926.720000000004
123,7035.14666666667
124,7033.22666666667
125,7045.06666666667
126,7128.213333333338
127,7205.493333333337
128,7233.3333333333385
129,7301.813333333338
130,7303.253333333339
131,7560.800000000005
132,7445.813333333338
133,7534.0800000000045
134,7482.6666666666715
135,7534.773333333339
136,7466.613333333339
137,7579.146666666672
138,7645.173333333339
139,7506.453333333338
140,7417.066666666671
141,7320.9600000000055
142,7338.453333333339
143,7373.013333333339
144,7485.333333333339
