,Heating Demand (kWh)
00:00,51.39240740740741
01:00,56.185787037036995
02:00,59.756365740740755
03:00,61.22372685185186
04:00,65.57689814814815
05:00,70.46810185185183
06:00,73.59847222222223
07:00,41.8510601851852
08:00,0.0
09:00,0.0
10:00,0.0
11:00,0.0
12:00,0.0
13:00,0.0
14:00,0.0
15:00,0.0
16:00,0.0
17:00,0.0
18:00,0.0
19:00,0.0
20:00,10.889740740740743
21:00,16.563537037037072
22:00,25.04726388888887
23:00,23.53099074074074
