,Heating Demand (kWh),Cooling Demand (kWh)
00:00,39.702430555555544,0.0
01:00,39.800254629629656,0.0
02:00,40.289375,0.0
03:00,41.90347222222224,0.0
04:00,42.00129629629628,0.0
05:00,40.68067129629632,0.0
06:00,38.57745370370372,0.0
07:00,11.574509259259267,0.0
08:00,0.0,58.85062962962961
09:00,0.0,85.40752314814812
10:00,0.0,85.6031712962963
11:00,0.0,93.18453703703703
12:00,0.0,93.86930555555553
13:00,0.0,102.67347222222219
14:00,0.0,103.35824074074074
15:00,0.0,95.23884259259258
16:00,0.0,87.16835648148145
17:00,0.0,7.453106481481489
18:00,1.6934444444444186,0.0
19:00,6.046615740740728,0.0
20:00,49.138953703703685,0.0
21:00,51.82911574074077,0.0
22:00,70.63328240740739,0.0
23:00,74.44842129629632,0.0
